t,x,u_num,u_exact
0.010200,0.050505,0.1578424278,0.1578424161
0.010200,0.060606,0.1890608352,0.1890608211
0.010200,0.070707,0.2200888743,0.2200888578
0.010200,0.080808,0.2508953025,0.2508952838
0.010200,0.090909,0.2814491005,0.2814490795
0.010200,0.101010,0.3117195030,0.3117194798
0.010200,0.111111,0.3416760305,0.3416760050
0.010200,0.121212,0.3712885191,0.3712884915
0.010200,0.131313,0.4005271517,0.4005271219
0.010200,0.141414,0.4293624874,0.4293624554
0.010200,0.151515,0.4577654915,0.4577654574
0.010200,0.161616,0.4857075645,0.4857075283
0.010200,0.171717,0.5131605712,0.5131605329
0.010200,0.181818,0.5400968687,0.5400968284
0.010200,0.191919,0.5664893344,0.5664892921
0.010200,0.202020,0.5923113933,0.5923113492
0.010200,0.212121,0.6175370449,0.6175369989
0.010200,0.222222,0.6421408891,0.6421408412
0.010200,0.232323,0.6660981518,0.6660981022
0.010200,0.242424,0.6893847101,0.6893846587
0.010200,0.252525,0.7119771165,0.7119770634
0.010200,0.262626,0.7338526223,0.7338525676
0.010200,0.272727,0.7549892006,0.7549891443
0.010200,0.282828,0.7753655689,0.7753655111
0.010200,0.292929,0.7949612097,0.7949611505
0.010200,0.303030,0.8137563920,0.8137563314
0.010200,0.313131,0.8317321906,0.8317321286
0.010200,0.323232,0.8488705054,0.8488704421
0.010200,0.333333,0.8651540795,0.8651540150
0.010200,0.343434,0.8805665168,0.8805664512
0.010200,0.353535,0.8950922983,0.8950922315
0.010200,0.363636,0.9087167977,0.9087167299
0.010200,0.373737,0.9214262963,0.9214262276
0.010200,0.383838,0.9332079967,0.9332079271
0.010200,0.393939,0.9440500358,0.9440499654
0.010200,0.404040,0.9539414965,0.9539414254
0.010200,0.414141,0.9628724190,0.9628723472
0.010200,0.424242,0.9708338106,0.9708337382
0.010200,0.434343,0.9778176548,0.9778175820
0.010200,0.444444,0.9838169196,0.9838168462
0.010200,0.454545,0.9888255641,0.9888254904
0.010200,0.464646,0.9928385451,0.9928384711
0.010200,0.474747,0.9958518218,0.9958517476
0.010200,0.484848,0.9978623601,0.9978622858
0.010200,0.494949,0.9988681357,0.9988680612
0.010200,0.505051,0.9988681357,0.9988680612
0.010200,0.515152,0.9978623601,0.9978622858
0.010200,0.525253,0.9958518218,0.9958517476
0.010200,0.535354,0.9928385451,0.9928384711
0.010200,0.545455,0.9888255641,0.9888254904
0.010200,0.555556,0.9838169196,0.9838168462
0.010200,0.565657,0.9778176548,0.9778175820
0.010200,0.575758,0.9708338106,0.9708337382
0.010200,0.585859,0.9628724190,0.9628723472
0.010200,0.595960,0.9539414965,0.9539414254
0.010200,0.606061,0.9440500358,0.9440499654
0.010200,0.616162,0.9332079967,0.9332079271
0.010200,0.626263,0.9214262963,0.9214262276
0.010200,0.636364,0.9087167977,0.9087167299
0.010200,0.646465,0.8950922983,0.8950922315
0.010200,0.656566,0.8805665168,0.8805664512
0.010200,0.666667,0.8651540795,0.8651540150
0.010200,0.676768,0.8488705054,0.8488704421
0.010200,0.686869,0.8317321906,0.8317321286
0.010200,0.696970,0.8137563920,0.8137563314
0.010200,0.707071,0.7949612097,0.7949611505
0.010200,0.717172,0.7753655689,0.7753655111
0.010200,0.727273,0.7549892006,0.7549891443
0.010200,0.737374,0.7338526223,0.7338525676
0.010200,0.747475,0.7119771165,0.7119770634
0.010200,0.757576,0.6893847101,0.6893846587
0.010200,0.767677,0.6660981518,0.6660981022
0.010200,0.777778,0.6421408891,0.6421408412
0.010200,0.787879,0.6175370449,0.6175369989
0.010200,0.797980,0.5923113933,0.5923113492
0.010200,0.808081,0.5664893344,0.5664892921
0.010200,0.818182,0.5400968687,0.5400968284
0.010200,0.828283,0.5131605712,0.5131605329
0.010200,0.838384,0.4857075645,0.4857075283
0.010200,0.848485,0.4577654915,0.4577654574
0.010200,0.858586,0.4293624874,0.4293624554
0.010200,0.868687,0.4005271517,0.4005271219
0.010200,0.878788,0.3712885191,0.3712884915
0.010200,0.888889,0.3416760305,0.3416760050
0.010200,0.898990,0.3117195030,0.3117194798
0.010200,0.909091,0.2814491005,0.2814490795
0.010200,0.919192,0.2508953025,0.2508952838
0.010200,0.929293,0.2200888743,0.2200888578
0.010200,0.939394,0.1890608352,0.1890608211
0.010200,0.949495,0.1578424278,0.1578424161
0.010200,0.959596,0.1264650865,0.1264650771
0.010200,0.969697,0.0949604056,0.0949603986
0.010200,0.979798,0.0633601077,0.0633601029
0.010200,0.989899,0.0316960114,0.0316960091
0.010200,1.000000,0.0000000000,0.0000000000
0.020200,0.000000,0.0000000000,0.0000000000
0.020200,0.010101,0.0316647465,0.0316647418
0.020200,0.020202,0.0632976092,0.0632975999
0.020200,0.030303,0.0948667367,0.0948667226
0.020200,0.040404,0.1263403413,0.1263403227
0.020200,0.050505,0.1576867320,0.1576867087
0.020200,0.060606,0.1888743454,0.1888743176
0.020200,0.070707,0.2198717785,0.2198717460
0.020200,0.080808,0.2506478192,0.2506477822
0.020200,0.090909,0.2811714789,0.2811714374
0.020200,0.101010,0.3114120227,0.3114119768
0.020200,0.111111,0.3413390011,0.3413389507
0.020200,0.121212,0.3709222799,0.3709222252
0.020200,0.131313,0.4001320715,0.4001320125
0.020200,0.141414,0.4289389640,0.4289389007
0.020200,0.151515,0.4573139514,0.4573138838
0.020200,0.161616,0.4852284623,0.4852283907
0.020200,0.171717,0.5126543893,0.5126543136
0.020200,0.181818,0.5395641168,0.5395640372
0.020200,0.191919,0.5659305490,0.5659304654
0.020200,0.202020,0.5917271371,0.5917270497
0.020200,0.212121,0.6169279061,0.6169278150
